gene	expr	reptime	hic
A1BG	1621097	406	-25
A1CF	113129	613	19
A2BP1	2474	1138	-47
A2M	348389	364	17
A2ML1	300254	407	12
A4GALT	808038	168	72
A4GNT	190056	464	9
AAAS	1701810	166	58
AACS	894670	306	13
AADAC	200470	526	2
AADACL2	91028	611	-5
AADACL3	145424	454	23
AADACL4	145424	454	23
AADAT	132912	831	-13
AAGAB	312039	320	45
AAK1	639466	309	35
AAMP	730654	197	33
AANAT	1202221	197	29
AARS	1335968	139	42
AARS2	1037256	312	54
AARSD1	1507064	201	26
AASDH	639545	594	5
AASDHPPT	86519	753	-16
AASS	57655	988	-13
AATF	668463	384	16
AATK	1737949	243	22
ABAT	402778	358	-10
ABCA1	195112	637	-18
ABCA10	137274	415	-43
ABCA12	526764	857	9
ABCA13	93300	878	-11
ABCA2	1951939	202	40
ABCA3	2220466	233	46
ABCA4	512482	370	-2
ABCA5	52620	314	-50
ABCA6	240031	493	-39
ABCA7	2387949	206	26
ABCA8	295848	637	-41
ABCA9	263023	602	-42
ABCB1	287293	822	0
ABCB10	255826	277	20
ABCB11	223582	560	1
ABCB4	225315	837	8
ABCB5	164218	648	4
ABCB6	773232	177	36
ABCB7	183021	NaN	-5
ABCB8	622098	373	41
ABCB9	1093113	196	47
ABCC1	409366	264	33
ABCC10	1270265	230	49
ABCC11	216539	578	-22
ABCC12	229669	628	-27
ABCC2	1035115	171	30
ABCC3	1585602	196	18
ABCC4	200377	596	30
ABCC5	1425631	375	43
ABCC6	385823	188	23
ABCC8	454503	598	14
ABCC9	529911	984	-17
ABCD1	1910154	NaN	37
ABCD2	70113	596	-16
ABCD3	459824	348	-8
ABCD4	652027	358	47
ABCE1	189309	1139	32
ABCF1	2080582	271	32
ABCF2	610106	290	32
ABCF3	1460188	257	49
ABCG1	289449	464	75
ABCG2	432576	209	-7
ABCG4	1258103	195	57
ABCG5	544941	480	35
ABCG8	501561	480	30
ABHD1	1214097	238	50
ABHD10	239044	250	10
ABHD11	1082063	214	54
ABHD12	608597	348	-3
ABHD12B	411016	431	41
ABHD13	71759	952	-32
ABHD14A	1045639	224	36
ABHD14B	1045639	224	36
ABHD15	802576	353	23
ABHD2	639252	388	22
ABHD3	269726	244	57
ABHD4	975314	380	49
ABHD5	103561	437	33
ABHD6	611196	221	43
ABHD8	842088	211	43
ABI1	342602	447	30
ABI2	415048	298	23
ABI3	816202	346	24
ABI3BP	459170	548	-1
ABL1	505506	211	29
ABL2	328468	301	6
ABLIM1	267957	257	13
ABLIM2	172573	230	36
ABLIM3	339889	423	17
ABO	1865433	416	45
ABP1	763140	604	19
ABR	1346718	270	22
ABRA	113560	708	18
ABT1	411992	498	24
ABTB1	679358	336	45
ABTB2	769733	368	32
ACAA1	302137	411	32
ACAA2	290591	530	35
ACACA	526151	346	13
ACACB	528828	519	29
ACAD10	599161	203	33
ACAD11	210777	598	19
ACAD8	270350	623	21
ACAD9	1117839	382	54
ACADL	190249	696	2
ACADM	152734	578	-13
ACADS	1741363	349	42
ACADSB	256010	673	17
ACADVL	1782958	316	21
ACAN	561599	560	-1
ACAP1	1911735	206	36
ACAP2	431673	561	43
ACAP3	1744013	273	28
ACAT1	417904	695	19
ACAT2	648197	420	22
ACBD3	756400	214	24
ACBD4	806811	207	32
ACBD5	383472	555	36
ACBD6	543108	445	12
ACBD7	254900	620	21
ACCN1	34504	1007	-15
ACCN2	1003045	211	56
ACCN3	622098	373	41
ACCN4	554323	403	33
ACCN5	43787	643	-2
ACCS	345807	680	3
ACCSL	389604	680	1
ACD	1065785	147	41
ACE	874574	267	-20
ACE2	179295	NaN	32
ACER1	943949	407	31
ACER2	496889	421	24
ACER3	279729	351	36
ACHE	1339207	433	48
ACIN1	1261207	185	41
ACLY	1857838	191	33
ACMSD	275440	496	15
ACN9	146007	987	-9
ACO1	290567	424	-18
ACO2	1474160	162	69
ACOT1	NaN	NaN	NaN
ACOT11	688014	415	18
ACOT12	114956	831	16
ACOT13	421216	362	24
ACOT2	606300	169	39
ACOT4	606300	169	39
ACOT6	606300	169	39
ACOT7	643590	176	26
ACOT8	742720	180	48
ACOT9	473183	NaN	48
ACOX1	1667990	194	22
ACOX2	551037	265	33
ACOX3	138504	332	47
ACOXL	NaN	NaN	NaN
ACP1	304765	624	-18
ACP2	1274054	198	38
ACP5	1152381	272	31
ACP6	NaN	NaN	NaN
ACPL2	333903	352	22
ACPP	210154	765	13
ACPT	652250	593	27
ACR	669934	295	41
ACRBP	2816983	210	61
ACRC	848605	NaN	39
ACRV1	564542	595	13
ACSBG1	421357	314	52
ACSBG2	1332100	417	40
ACSF2	1332860	200	23
ACSF3	1277584	239	40
ACSL1	311713	515	30
ACSL3	261505	361	14
ACSL4	209488	NaN	44
ACSL5	184750	409	-4
ACSL6	331471	484	25
ACSM1	175989	641	11
ACSM2A	181483	823	6
ACSM2B	166410	726	-6
ACSM3	211686	580	23
ACSM4	1157790	439	27
ACSM5	181483	823	6
ACSS1	572146	563	-18
ACSS2	1004645	205	44
ACSS3	26211	1037	-20
ACTA1	243405	361	29
ACTA2	181406	267	30
ACTB	1906749	195	34
ACTBL2	160055	456	3
ACTC1	521214	306	-1
ACTG1	3582152	268	26
ACTG2	1036341	284	45
ACTL6A	399933	477	11
ACTL6B	1884430	247	60
ACTL7A	336944	471	9
ACTL7B	336944	471	9
ACTL8	249962	416	27
ACTL9	536422	487	-47
ACTN1	609757	344	44
ACTN2	427180	682	-10
ACTN3	1343990	194	62
ACTN4	1596646	322	36
ACTR10	291132	545	21
ACTR1A	871726	178	41
ACTR1B	362146	520	25
ACTR2	606183	343	31
ACTR3	402980	629	15
ACTR3B	190917	535	5
ACTR5	358558	551	35
ACTR6	184664	650	9
ACTR8	128709	552	39
ACTRT1	938	NaN	-35
ACTRT2	308009	634	19
ACVR1	81110	935	2
ACVR1B	493265	371	27
ACVR1C	79510	911	7
ACVR2A	90992	951	-2
ACVR2B	337567	514	28
ACVRL1	493265	371	27
ACY1	1045639	224	36
ACY3	1408104	424	60
ACYP1	919043	222	47
ACYP2	619188	448	11
ADA	801801	171	42
ADAD1	227942	612	-14
ADAD2	582429	364	12
ADAL	823006	415	50
ADAM10	506165	386	31
ADAM11	1224408	175	31
ADAM12	214443	485	-29
ADAM15	1696720	214	44
ADAM17	691902	278	38
ADAM18	175645	764	4
ADAM19	261911	1079	45
ADAM2	12694	576	-2
ADAM20	333836	706	26
ADAM21	423685	706	22
ADAM22	178742	722	17
ADAM23	290387	726	16
ADAM28	55817	565	5
ADAM29	49942	889	-36
ADAM30	390094	560	9
ADAM32	347510	612	-5
ADAM33	942842	353	32
ADAM7	56052	741	6
ADAM8	339279	452	-12
ADAM9	389317	428	22
ADAMDEC1	57540	741	5
ADAMTS1	33367	441	-72
ADAMTS10	622624	214	-14
ADAMTS12	373086	875	7
ADAMTS13	1843278	263	33
ADAMTS14	546305	566	37
ADAMTS15	686411	396	-0
ADAMTS16	89385	683	-23
ADAMTS17	143599	755	-36
ADAMTS18	61971	1102	-26
ADAMTS19	38096	1075	-16
ADAMTS2	1496298	677	-4
ADAMTS20	126632	906	-21
ADAMTS3	70065	633	-15
ADAMTS4	728669	234	37
ADAMTS5	33106	441	-79
ADAMTS6	275284	480	5
ADAMTS7	507164	413	46
ADAMTS8	693280	382	-6
ADAMTS9	90552	783	-10
ADAMTSL1	313133	527	-18
ADAMTSL2	1869593	315	35
ADAMTSL3	112410	888	-7
ADAMTSL4	1475649	152	31
ADAMTSL5	2122824	221	35
ADAP1	737267	310	41
ADAP2	594135	209	20
ADAR	1927515	403	36
ADARB1	596496	250	42
ADARB2	284080	633	8
ADAT1	449343	354	18
ADAT2	299410	495	7
ADAT3	NaN	NaN	NaN
ADC	756118	264	21
ADCK1	427928	517	24
ADCK2	354697	567	38
ADCK4	1022809	201	31
ADCK5	2284602	200	32
ADCY1	287931	686	11
ADCY10	534611	238	13
ADCY2	60911	1014	-22
ADCY3	284877	296	37
ADCY4	906124	173	39
ADCY5	372027	458	42
ADCY6	1715886	328	38
ADCY7	304156	520	21
ADCY8	45406	771	-7
ADCY9	740126	140	19
ADCYAP1	272034	531	-13
ADCYAP1R1	364216	631	7
ADD1	669373	264	45
ADD2	659649	592	24
ADD3	349258	424	3
ADH1A	250334	786	3
ADH1B	332785	854	8
ADH1C	332785	854	8
ADH4	166160	760	1
ADH5	192327	549	11
ADH6	167884	786	-3
ADH7	332944	854	12
ADHFE1	259302	268	12
ADI1	254699	390	16
ADIG	525955	539	39
ADIPOQ	449980	384	25
ADIPOR1	421206	389	30
ADIPOR2	259057	403	29
ADK	622159	598	40
ADM	860704	273	12
ADM2	1075525	207	42
ADNP	386595	367	36
ADNP2	477656	572	4
ADO	176901	852	32
ADORA1	469029	453	37
ADORA2A	611616	186	54
ADORA2B	931951	350	-33
ADORA3	374092	330	27
ADPGK	1106545	526	43
ADPRH	289679	595	40
ADPRHL1	808201	223	49
ADPRHL2	853740	282	27
ADRA1A	259233	692	3
ADRA1B	206270	458	31
ADRA1D	805921	428	14
ADRA2A	285613	547	-1
ADRA2B	792336	366	41
ADRA2C	326572	592	36
ADRB1	272214	502	25
ADRB2	298390	408	22
ADRB3	672861	356	25
ADRBK1	1369264	177	44
ADRBK2	149272	580	-13
ADRM1	990360	252	9
ADSL	445026	427	47
ADSS	710088	534	2
ADSSL1	681504	208	29
AEBP1	1151124	282	56
AEBP2	152349	339	-21
AEN	393645	605	14
AES	1092464	195	30
AFAP1	166375	260	38
AFAP1L1	386336	380	25
AFAP1L2	303560	299	6
AFF1	270752	518	48
AFF2	97330	NaN	-13
AFF3	353071	868	12
AFF4	686574	200	66
AFG3L2	492344	214	26
AFM	331900	594	3
AFMID	605209	191	26
AFP	331900	594	3
AFTPH	532219	332	21
AGA	44980	837	-8
AGAP1	134111	614	3
AGAP11	401785	164	45
AGAP2	1160849	344	39
AGAP3	616572	337	39
