Variant_Classification	effect
Silent	silent
Synonymous	silent
Missense	nonsilent
Missense_Mutation	nonsilent
Nonsense	null
Nonsense_Mutation	null
Nonstop_Mutation	null
Read-through	null
Frame_Shift_Del	null
Frame_Shift_Ins	null
In_Frame_Del	null
In_Frame_Ins	null
Splice	null
Splice_Region	null
Splice_Site	null
Splice_Site_Del	null
Splice_Site_DNP	null
Splice_Site_Ins	null
Splice_Site_ONP	null
Splice_Site_SNP	null
Start_Codon_Del	null
Start_Codon_DNP	null
Start_Codon_Ins	null
Start_Codon_ONP	null
Stop_Codon_Del	null
Stop_Codon_DNP	null
Stop_Codon_Ins	null
Translation_Start_Site	null
De_novo_Start	null
De_novo_Start_InFrame	null
De_novo_Start_OutOfFrame	null
IGR	noncoding
Intron	noncoding
3'Flank	noncoding
3'Promoter	noncoding
3'UTR	noncoding
3'-UTR	noncoding
5'Flank	noncoding
5'-Flank	noncoding
5'Promoter	noncoding
5'UTR	noncoding
5'-UTR	noncoding
downstream	noncoding
miRNA	noncoding
NCSD	noncoding
Non-coding_Transcript	noncoding
Promoter	noncoding
RNA	noncoding
upstream	noncoding
upstream;downstream	noncoding
